연번,시도,시군구,기관명,주소,기관 대표전화,위수탁기간,시설유형구분,특화서비스,응급안전안심서비스,방문요양서비스,재가노인복지서비스,사회서비스원 소속,사회서비스형 노인일자리 파견 이용,위도,경도
179,인천광역시,옹진군,옹진군청,"인천광역시 매소홀로 120, 옹진군청 3층 행정복지국 사회복지과",032-899-2326,2004-01-01 ~ 2024-12-31 (21년),직영(지자체),해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.44657047,126.6367454
180,광주광역시,광산구,송광종합사회복지관,광주광역시 광산구 우산로 17,062-941-8248,2024-01-01 ~ 2025-12-31 (2년),사회복지관,해당,해당없음,해당없음,해당없음,해당없음,해당없음,35.15665218,126.8090826
181,광주광역시,광산구,원광효도복지센터,광주광역시 광산구 신창로138번길 23-17 (신창동),062-945-3513,2024-01-01 ~ 2024-12-31 (1년),재가노인복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,35.19719437,126.8407684
182,광주광역시,광산구,하남효사랑,광주 광산구 임곡로 649 (안청동) 하남효사랑,062-952-9506,2024-01-01 ~ 2025-12-31 (2년),법인,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,35.21697734,126.8014904
183,광주광역시,광산구,호연실버홈,광주 광산구 용진로 28-13 (도덕동),062-943-3004,2023-01-01 ~ 2024-12-31 (2년),요양시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,35.16469361,126.702759
184,광주광역시,남구,남구노인복지관,광주광역시 남구 대남대로308번길 32,062-674-5666,2024-01-01 ~ 2025-12-31 (2년),노인여가복지시설,해당없음,해당,해당없음,해당없음,해당없음,해당,35.14132049,126.8966472
185,광주광역시,남구,광주공원노인복지센터,광주 남구 서오층석탑2길 1 (서동) 1층 광주공원노인복지센터,062-674-3374,2024-01-01 ~ 2025-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당,해당없음,해당없음,해당없음,35.14629053,126.9075159
186,광주광역시,남구,로뎀노인복지센터,"광주 남구 대남대로308번길 27 (월산동, 만생약국)",062-363-9214,2024-01-01 ~ 2025-12-31 (2년),재가노인복지시설,해당,해당없음,해당,해당없음,해당없음,해당,35.14113532,126.8965215
187,광주광역시,동구,C.C.C.동구노인복지센터,광주광역시 동구 동명로20번길8,062-232-4950,2023-01-01 ~ 2024-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당,해당,해당없음,해당,35.1505278,126.924072
188,광주광역시,동구,빛고을종합사회복지관,"광주 동구 천변좌로 656 (용산동, 빛고을종합사회복지관)",062-234-4563,2023-01-01 ~ 2024-12-31 (2년),사회복지관,해당,해당,해당없음,해당없음,해당없음,해당,35.1256308,126.9295742
189,광주광역시,북구,우산종합사회복지관,광주광역시 북구 중문로 55 2층 우산종합사회복지관내 노인맞춤돌봄사무실,062-266-3851,2023-01-01 ~ 2024-12-31 (2년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당,35.17800345,35.17800345
190,광주광역시,북구,북구노인종합복지관,"광주광역시 북구 군왕로130번길 30 (두암동, 북구노인종합복지회관)",062-266-7727,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당없음,해당,해당없음,해당없음,해당없음,해당,35.17235896,126.9343608
191,광주광역시,북구,효령노인복지타운 노인맞춤돌봄서비스,광주광역시 북구 하서로 950 노인맞춤돌봄서비스,062-603-9988,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당,35.2406953,126.9123381
192,광주광역시,북구,참빛복지원,광주 북구 서강로67번길 24-21 (운암동) 참빛요양원,062-515-1547,2023-01-01 ~ 2024-12-31 (2년),사회복지법인,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,35.17870046,126.8697227
193,광주광역시,북구,사단법인 농담,"광주 북구 삼정로 7 (두암동, 율곡타운아파트,두암주공2단지아파트) 두암주공2단지 상가동 208호",062-269-4502,2023-01-01 ~ 2024-12-31 (2년),법인,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,35.16528991,126.9345857
194,광주광역시,북구,동강대학교 산학협력단,"광주 북구 동문대로 50 (두암동, 동강대학)",062-520-2375,2023-01-01 ~ 2024-12-31 (2년),학교,해당,해당없음,해당없음,해당없음,해당없음,해당없음,35.16943786,126.9223461
195,광주광역시,서구,서구노인종합복지관,광주광역시 서구 군분2로 55,062-365-9688,2024-01-01 ~ 2024-12-31 (1년),노인여가복지시설,해당없음,해당,해당없음,해당없음,해당없음,해당,35.15611845,126.8810439
196,광주광역시,서구,쌍촌종합사회복지관,광주광역시 서구 쌍학로 47,062-385-4501,2023-01-01 ~ 2024-12-31 (2년),사회복지관,해당,해당없음,해당없음,해당없음,해당없음,해당없음,35.14648083,126.8686554
197,광주광역시,서구,금호종합사회복지관,광주광역시 서구 운천로32번길 23,062-376-3017,2023-01-01 ~ 2024-12-31 (2년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,35.13551085,126.8611843
198,광주광역시,서구,시영종합사회복지관,"광주 서구 화정로 87 (쌍촌동, 시영아파트)",062-372-0360,2023-01-01 ~ 2024-12-31 (2년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,35.14517345,126.8668311
199,대전광역시,대덕구,대덕구노인종합복지관,대전광역시 대덕구 계족로740번길 80,042-627-0767,2024-01-01 ~ 2025-12-31 (2년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당없음,36.37888975,127.4332238
200,대전광역시,대덕구,법동종합사회복지관,대전광역시 대덕구 계족로664번길 27,042-633-0239,2024-01-01 ~ 2025-12-31 (2년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,36.37062423,127.4312316
201,대전광역시,대덕구,대덕종합사회복지관,대전광역시 대덕구 덕암로 234번길 44,042-936-7343,2024-01-01 ~ 2025-12-31 (2년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,36.44018594,127.4265433
202,대전광역시,대덕구,대덕사랑노인복지센터,"대전 대덕구 송촌북로36번길 10 (송촌동) , 송촌컨벤션센터 507호",042-322-2024,2024-01-02 ~ 2025-12-31 (2년),사회복지법인,해당없음,해당없음,해당,해당,해당없음,해당,36.36538185,127.4367592
203,대전광역시,대덕구,중리종합사회복지관,대전 대덕구 계족로663번길 34 (법동),042-628-1476,2024-01-01 ~ 2025-12-31 (2년),사회복지법인,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,36.3706044,127.4247393
204,대전광역시,동구,동구 정다운어르신복지관,대전광역시 동구 충정로 53-30,042-626-2736,2024-01-01 ~ 2026-12-31 (3년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당,36.3489714,127.4526605
205,대전광역시,동구,동구행복한어르신복지관,대전광역시 동구 동부로 23,042-282-5910,2024-01-01 ~ 2026-12-31 (3년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,36.32105567,127.4583925
206,대전광역시,동구,선우노인복지센터,대전광역시 동구 신기로 109-22(가오동),042-273-0045,2024-01-01 ~ 2026-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당,해당,해당없음,해당없음,36.31231517,127.4583773
207,대전광역시,동구,금성노인복지센터,"대전광역시 동구 우암로 139-3, 1,3,4층",042-626-7530,2024-01-01 ~ 2026-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당,해당,해당없음,해당,36.33962451,127.4332501
208,대전광역시,서구,유등노인복지관,대전광역시 서구 도솔로 182,042-528-0890,2022-01-01 ~ 2024-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,36.33123235,127.3766976
209,대전광역시,서구,대전서구지역자활센터,대전광역시 서구 계룡로 676 주원빌딩 5층,042-527-1654,2022-01-01 ~ 2024-12-31 (3년),지역자활센터,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,36.33593247,127.3954603
210,대전광역시,서구,서구노인복지관 재가노인지원센터,대전광역시 서구 남선로 66,042-488-6297,2022-01-01 ~ 2024-12-31 (3년),재가노인복지시설,해당,해당,해당없음,해당,해당없음,해당없음,36.34648536,127.3963842
211,대전광역시,서구,관저종합사회복지관,대전광역시 서구 구봉로 13,042-545-6810,2022-07-01 ~ 2024-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,36.29865325,127.3238213
212,대전광역시,서구,대전광역시사회서비스원 광역종합재가센터,"대전 서구 한밭대로592번길 6 (월평동, 장인빌딩) 201호",042-331-8995,2022-01-01 ~ 2024-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당,해당없음,해당,해당없음,,
213,대전광역시,서구,노인전문요양원 해피존,"대전 서구 정각길 200-64 (산직동, 경일복지원)",042-586-5185,2022-07-01 ~ 2024-12-31 (3년),요양시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,
214,대전광역시,서구,실버누리요양원,대전 서구 흑석2길 37 (흑석동),042-583-2778,2022-07-01 ~ 2024-12-31 (3년),요양시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,
215,대전광역시,유성구,유성노인복지센터,대전광역시 유성구 수통골로71번길 10(유성노인복지센터),042-823-7440,2023-01-01 ~ 2024-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,,
216,대전광역시,유성구,유성구노인복지관,대전광역시 유성구 가정로 15 유성구노인복지관,042-862-4634,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당,해당,해당없음,해당,해당없음,해당,,
217,대전광역시,유성구,유성실버복지센터,대전 유성구 원신흥남로27번길 54 (원신흥동) 유성실버복지센터,042-823-3233,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,
218,대전광역시,중구,대전광역시노인복지관,대전광역시 중구 테미로 26,042-242-3100,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당,해당,해당없음,해당없음,해당,해당없음,36.31876605,127.4203003
219,대전광역시,중구,대전노인복지센터,대전광역시 중구 수침로 89 2층 대전노인복지센터,042-283-1004,2023-01-01 ~ 2024-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,,
220,대전광역시,중구,한빛재가노인복지센터,대전 중구 사정공원로 289 (산성동),042-582-8868,2023-01-01 ~ 2024-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,
221,대전광역시,중구,이웃사랑재가노인지원서비스센터,대전 중구 문창로 123 (문창동) 2층,042-222-2190,2023-01-01 ~ 2024-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당,해당,해당없음,해당없음,,
222,울산광역시,남구,도산노인복지관,울산광역시 남구 대암로129번길 4,052-265-5221,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,35.53018385,129.3296259
223,울산광역시,남구,선암호수노인복지관,울산광역시 남구 선암호수길150,052-268-6080,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당없음,,
224,울산광역시,남구,문수실버복지관,"울산 남구 대학로1번길 3-51 (무거동, 문수실버복지관)",052-247-3740,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,
225,울산광역시,동구,울산동구종합사회복지관,"울산광역시 동구 봉수로 155, 울산동구종합사회복지관 2층",052-236-1465,2022-01-01 ~ 2024-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당,,
226,울산광역시,동구,울산동구노인복지관,울산광역시 동구 명덕 6길 33,052-252-2118,2022-01-01 ~ 2024-12-31 (3년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당,,
227,울산광역시,북구,울산북구노인복지관,울산광역시 북구 동대8길 40,052-296-3901,2024-01-01 ~ 2026-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,35.63174545,129.353747
228,울산광역시,북구,한울타리재가노인지원서비스센터,울산광역시 북구 상방로 147 보성빌딩 5층,052-288-8430,2024-01-01 ~ 2026-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당,해당,해당없음,해당없음,,
229,울산광역시,울주군,행복누리재가노인지원서비스센터,울산광역시 울주군 두서면 인보로 94,052-263-5511,2022-01-01 ~ 2024-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,35.64050176,129.1585667
230,울산광역시,울주군,울산노인요양원,"울산광역시 울주군 언양읍 방천 8길 5, 2층",052-263-3304,2022-01-01 ~ 2024-12-31 (3년),요양시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,
231,울산광역시,울주군,행복한재가노인지원서비스센터,울산 울주군 언양읍 읍성로 91-1,052-263-5335,2022-01-01 ~ 2024-12-31 (3년),재가노인복지시설,해당,해당,해당,해당,해당없음,해당없음,35.56749445,129.1178823
232,울산광역시,울주군,울주재가노인지원서비스센터,울산광역시 울주군 온양읍 남창로 449,052-238-9191,2022-01-01 ~ 2024-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당,해당,해당없음,해당없음,35.41309731,129.2707142
233,울산광역시,중구,장수재가노인지원서비스센터,"울산광역시 중구 학성로 116, 4층",052-900-0072,2023-01-01 ~ 2024-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,,
234,울산광역시,중구,울산중구재가노인지원서비스센터,울산광역시 중구 난곡10길 22,052-223-1322,2023-01-01 ~ 2024-12-31 (2년),재가노인복지시설,해당,해당없음,해당,해당,해당없음,해당없음,35.5560949,129.2790264
235,울산광역시,중구,국민재가노인지원서비스센터,울산 중구 옥교로 105 (학성동) 3층,052-295-1300,2023-01-01 ~ 2024-12-31 (2년),재가노인복지시설,해당없음,해당,해당없음,해당,해당없음,해당없음,,
236,경기도,가평군,청평노인복지관,경기 가평군 청평면 은고개로 39 (청평호반 문화체육센터) 2층,031-582-8879,2024-01-01 ~ 2024-12-31 (1년),노인여가복지시설,해당없음,해당,해당없음,해당없음,해당없음,해당없음,,
237,경기도,고양시,덕양노인종합복지관,경기도 고양시 덕양구 어울림로49(화정동 846),031-969-7781,2024-01-01 ~ 2026-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,,
238,경기도,고양시,원당종합사회복지관,경기도 고양시 덕양구 호국로716번길 13-11,031-966-4007,2021-01-01 ~ 2023-12-31 (3년),사회복지관,해당없음,해당,해당없음,해당없음,해당없음,해당없음,37.65162545,126.8328671
239,경기도,고양시,덕양행신종합사회복지관,경기도 고양시 덕양구 서정마을 2로 13,031-839-6000,2024-01-01 ~ 2026-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,
240,경기도,고양시,고양시삼송동종합복지회관,경기도 고양시 덕양구 삼송로 180,02-381-9094,2024-01-01 ~ 2026-12-31 (3년),사회복지법인,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.65314575,126.8938861
241,경기도,고양시,효샘재가노인지원서비스센터,경기 고양시 덕양구 토당로104번길 18(토당동),031-970-0361,2024-01-01 ~ 2026-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,,
242,경기도,고양시,일산노인종합복지관,경기도 고양시 일산동구 호수로 731,031-961-4300,2020-01-01 ~ 2026-12-31 (7년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당없음,37.66445985,126.7604179
243,경기도,고양시,고양시흰돌종합사회복지관,경기도 고양시 일산동구 장백로 61,031-905-3400,2024-01-01 ~ 2026-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.642415,126.7857514
244,경기도,고양시,대화노인종합복지관,경기도 고양시 일산서구 일산로 778,031-917-1352,2024-01-01 ~ 2026-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.6745025,126.7481887
245,경기도,고양시,문촌7종합사회복지관,경기도 고양시 일산서구 킨텍스로340,031-916-4071,2024-01-01 ~ 2026-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,
246,경기도,고양시,고양시문촌9종합사회복지관,"경기도 고양시 일산서구 주엽로 156(주엽동, 문촌마을9단지)",031-917-0202,2024-01-01 ~ 2026-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,
247,경기도,과천시,과천시노인복지관,경기도 과천시 문원로 57,02-502-8500,2024-01-01 ~ 2025-12-31 (2년),노인여가복지시설,해당,해당,해당없음,해당,해당없음,해당,37.42816715,127.0040893
248,경기도,광명시,광명시립하안노인종합복지관,경기도 광명시 철망산로 48,02-898-8830,2024-01-01 ~ 2024-12-31 (1년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.46964449,126.876742
249,경기도,광명시,광명시립 소하노인종합복지관,경기도 광명시 소하로 25 광명시립 소하노인종합복지관,02-2625-9300,2023-01-01 ~ 2023-12-31 (1년),노인여가복지시설,해당없음,해당,해당없음,해당없음,해당없음,해당없음,,
250,경기도,광주시,북부무한돌봄행복나눔센터,"경기도 광주시 중앙로175번길12,1층",031-798-8760,2024-01-01 ~ 2028-12-31 (5년),지방자치단체 사회복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,
251,경기도,광주시,광주시남부무한돌봄행복나눔센터,경기도 광주시 오포로 859번길 29(오포1동 행정복지센터 2층),031-798-8790,2024-01-01 ~ 2028-12-31 (5년),기타,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,
252,경기도,광주시,평강호스피스,경기 광주시 수하길 9 (송정동) 성현빌딩 402호,031-761-0321,2024-01-01 ~ 2028-12-31 (5년),기타,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,
253,경기도,구리시,경기구리지역자활센터,경기도 구리시 동구릉로136번길90 구리농수산물도매시장 청과물동 A동 2층 203호,031-567-6668,2024-01-01 ~ 2025-12-31 (2년),지역자활센터,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,
254,경기도,구리시,구리시종합사회복지관,경기도 구리시 벌말로129번길50,031-556-8100,2024-01-01 ~ 2024-12-31 (1년),사회복지관,해당,해당,해당없음,해당없음,해당없음,해당없음,,
255,경기도,군포시,군포시늘푸른노인복지관,경기도 군포시 산본천로 101(산본동),031-392-5755,2024-01-01 ~ 2026-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당,,
256,경기도,군포시,성민재가노인복지센터,"경기도 군포시 군포로 487 502호(당동,동영프라자)",031-397-2020,2022-01-01 ~ 2023-12-31 (2년),재가노인복지시설,해당,해당,해당없음,해당,해당없음,해당,,
257,경기도,김포시,김포북부노인복지관,경기도 김포시 통진읍 마송1로 16번길 40-2,031-984-0108,2022-04-11 ~ 2027-04-10 (5년),노인여가복지시설,해당없음,해당,해당없음,해당없음,해당없음,해당없음,,
258,경기도,김포시,김포시노인종합복지관,경기도 김포시 사우중로 74번길 48 김포시노인종합복지관,031-997-9300,2022-02-17 ~ 2025-02-16 (4년),노인여가복지시설,해당없음,해당,해당없음,해당없음,해당없음,해당없음,,
259,경기도,남양주시,남양주시노인복지관,경기도 남양주시 진건오남로 359,031-573-6598,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당없음,해당,해당없음,해당없음,해당없음,해당,37.68167725,127.2100983
260,경기도,남양주시,해피누리노인복지관,"경기 남양주시 늘을2로 67 (호평동, 호평체육문화센터)",031-590-3000,2022-01-01 ~ 2024-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,,
261,경기도,남양주시,남양주시동부노인복지관,경기 남양주시 수동면 비룡로 801-47 (남양주시동부노인복지관),031-559-5880,2022-01-01 ~ 2024-12-31 (3년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,
262,경기도,남양주시,사회적협동조합 일과나눔 도우누리,"경기 남양주시 경춘로 997 (금곡동, 만복빌딩) 1층",031-559-3506,2022-01-01 ~ 2024-12-31 (3년),협동조합,해당없음,해당없음,해당,해당없음,해당없음,해당없음,,
263,경기도,동두천시,동두천시노인복지관,경기도 동두천시 동두천로 264,031-858-9918,2022-01-01 ~ 2024-12-31 (3년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당없음,37.90156439,127.0549279
264,경기도,부천시,부천시원미노인복지관,"경기 부천시 원미구 부천로136번길 27 (원미동, 원미구청) 2층",032-322-2260,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,,
265,경기도,부천시,부천시소사노인복지관,"경기도 부천시 소사구 경인옛로73, 소사구청 3층",032-347-9534,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,
266,경기도,부천시,부천시오정노인복지관,경기도 부천시 성오로 172 오정구청 지하1층,032-683-9290,2021-01-01 ~ 2024-12-31 (4년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당,,
267,경기도,부천시,상동종합사회복지관,"경기 부천시 석천로16번길 50 (상동, 상동어울마당)",032-652-0420,2023-01-01 ~ 2024-12-31 (2년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,
268,경기도,부천시,경기부천나눔지역자활센터,"경기 부천시 소사구 경인로224번길 36 (심곡본동, 두레광장), 3층",032-719-9973,2023-01-01 ~ 2024-12-31 (2년),지역자활센터,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,
269,경기도,부천시,고강종합사회복지관,"경기 부천시 고리울로 79 (고강동, 고강본주민지원센터)",032-677-9090,2024-01-01 ~ 2025-12-31 (2년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,
270,경기도,성남시,수정노인종합복지관,경기도 성남시 수정구 수정남로268번길 28(산성동2178),031-731-3393,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당,,
271,경기도,성남시,수정중앙노인종합복지관,경기도 성남시 수정구 성남대로 1480번길 38,031-752-3366,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,
272,경기도,성남시,판교노인종합복지관,경기도 성남시 분당구 판교역로99(백현동),031-620-2810,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,,
273,경기도,성남시,성남시독거노인종합지원센터,"경기도 성남시 분당구 야탑로205번길 26, 성남시니어산업혁신센터 219호",031-728-9900,2023-01-01 ~ 2025-12-31 (3년),지방자치단체 사회복지시설,해당,해당,해당없음,해당없음,해당없음,해당없음,,
274,경기도,성남시,태평4동복지회관,"경기 성남시 수정구 공원로409번길 11 (태평동, 태평4동 다목적 복지 회관)",031-751-2993,2023-01-01 ~ 2025-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,
